key,source,url,srcid,shell,z_cross,z_best,logM,phot_flux_radius,eqw_hb,phot_restV,phi_ratio,l3_kpc,l3_l2,flag
srcid_0129904_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_0129904_Shell_C.png,129904.0,Shell_C,6.0,5.217173,10.861173497890077,8.09,245.8202,0.54762757,0.9787,3.203,1.178,
srcid_0139055_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_0139055_Shell_C.png,139055.0,Shell_C,6.0,5.2221,10.532403710090977,5.38,73.20752,0.4131866,0.979,2.129,0.783,
srcid_0148866_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_0148866_Shell_C.png,148866.0,Shell_C,6.0,5.222564,10.533738274660198,11.52,126.22449,0.5447438,0.979,4.559,1.677,
srcid_0149298_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_0149298_Shell_C.png,149298.0,Shell_C,6.0,5.1471887,10.616769292250265,2.89,2155.5967,0.4635644,0.9741,1.152,0.424,
srcid_0155916_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_0155916_Shell_C.png,155916.0,Shell_C,6.0,4.094089,10.81542391911801,3.25,-33.74683,1.0217035,0.8112,1.441,0.53,
srcid_0159494_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_0159494_Shell_C.png,159494.0,Shell_C,6.0,4.435472,10.86671991010176,6.27,175.84244,1.0231192,0.8877,2.685,0.987,
srcid_0171974_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_0171974_Shell_C.png,171974.0,Shell_C,6.0,5.2076435,11.149597526459202,5.51,138.45897,1.1858642,0.9781,2.184,0.803,
srcid_10004051_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_10004051_Shell_C.png,10004051.0,Shell_C,6.0,4.073401833333333,10.626496808763118,8.57,89.44489,0.8699818,0.8056,3.809,1.401,
srcid_2100262_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_2100262_Shell_C.png,2100262.0,Shell_C,6.0,4.6660337,10.978464960713746,8.31,32.10401,0.73283064,0.9249,3.476,1.278,
srcid_2100282_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_2100282_Shell_C.png,2100282.0,Shell_C,6.0,4.6858993,10.638970458613107,9.4,153.99138,0.5576863,0.9276,3.924,1.443,
srcid_3100560_Shell_C,qec9_rubies,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_rubies__srcid_3100560_Shell_C.png,3100560.0,Shell_C,6.0,4.0147786,10.775437001245201,5.82,0.0,2.6974099,0.7891,2.603,0.957,
srcid_0000025_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0000025_Shell_C.png,25.0,Shell_C,6.0,2.22625705,,,,,-0.2577,,,
srcid_0000026_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0000026_Shell_C.png,26.0,Shell_C,6.0,1.09295,10.528486839606591,2.92,-2.9384391,4.0099435,0.0542,1.543,0.567,
srcid_0000051_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0000051_Shell_C.png,51.0,,,-1.0,,,,,2.6858898813219075e-84,,,BAD_Z
srcid_0000098_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0000098_Shell_C.png,98.0,,,-1.0,,,,,2.6858898813219075e-84,,,BAD_Z
srcid_0000154_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0000154_Shell_C.png,154.0,Shell_C,6.0,3.5901433333333337,10.787600670783434,9.87,-8.732967,0.4938588,0.6374,4.613,1.697,
srcid_0000157_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0000157_Shell_C.png,157.0,Shell_C,6.0,2.5832884,11.199294098221161,10.39,110.804955,0.61607087,0.0116,5.37,1.975,
srcid_0000174_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0000174_Shell_C.png,174.0,,,-1.0,,,,,2.6858898813219075e-84,,,BAD_Z
